# GW150914 time-1126259462.44 (s),H1_data_whitened,L1_data_whitened,H1_template_whitened,L1_template_whitened
 -0.199766, -1.785543,  0.518943,  0.017871, -0.036198
 -0.199522, -2.215131,  0.470561,  0.054134, -0.021988
 -0.199277, -2.425469,  0.410229,  0.090960, -0.000196
 -0.199033, -2.373615,  0.337342,  0.125060,  0.026945
 -0.198789, -2.056279,  0.250043,  0.153300,  0.056779
 -0.198545, -1.514178,  0.145231,  0.173036,  0.086496
 -0.198301, -0.826774,  0.019794,  0.182393,  0.113379
 -0.198057, -0.097415, -0.127246,  0.180468,  0.135034
 -0.197813,  0.567929, -0.292225,  0.167426,  0.149574
 -0.197568,  1.082692, -0.464687,  0.144486,  0.155740
 -0.197324,  1.396365, -0.626448,  0.113775,  0.152963
 -0.197080,  1.501460, -0.752856,  0.078090,  0.141357
 -0.196836,  1.429582, -0.816791,  0.040590,  0.121668
 -0.196592,  1.238643, -0.794902,  0.004448,  0.095172
 -0.196348,  0.995416, -0.674428, -0.027482,  0.063547
 -0.196104,  0.758287, -0.458332, -0.052951,  0.028732
 -0.195859,  0.564447, -0.166871, -0.070508, -0.007216
 -0.195615,  0.424270,  0.165148, -0.079598, -0.042260
 -0.195371,  0.323634,  0.494818, -0.080547, -0.074508
 -0.195127,  0.232932,  0.779651, -0.074443, -0.102317
 -0.194883,  0.119861,  0.985899, -0.062942, -0.124379
 -0.194639, -0.037714,  1.094490, -0.048027, -0.139794
 -0.194395, -0.242510,  1.103190, -0.031756, -0.148106
 -0.194150, -0.474973,  1.024899, -0.016033, -0.149335
 -0.193906, -0.697829,  0.883173, -0.002431, -0.143963
 -0.193662, -0.866509,  0.706567,  0.007924, -0.132904
 -0.193418, -0.941750,  0.523242,  0.014389, -0.117439
 -0.193174, -0.899991,  0.356767,  0.016782, -0.099127
 -0.192930, -0.738525,  0.223492,  0.015304, -0.079682
 -0.192686, -0.474724,  0.131591,  0.010432, -0.060845
 -0.192441, -0.140783,  0.081675,  0.002809, -0.044246
 -0.192197,  0.223544,  0.068556, -0.006863, -0.031271
 -0.191953,  0.577897,  0.083336, -0.017893, -0.022958
 -0.191709,  0.886509,  0.114974, -0.029648, -0.019915
 -0.191465,  1.121263,  0.150970, -0.041562, -0.022286
 -0.191221,  1.262985,  0.177489, -0.053115, -0.029756
 -0.190977,  1.301675,  0.179626, -0.063810, -0.041594
 -0.190732,  1.236352,  0.142560, -0.073136, -0.056735
 -0.190488,  1.074989,  0.054059, -0.080550, -0.073882
 -0.190244,  0.834591, -0.091891, -0.085473, -0.091623
 -0.190000,  0.540898, -0.291476, -0.087313, -0.108538
 -0.189756,  0.226731, -0.529312, -0.085507, -0.123309
 -0.189512, -0.071820, -0.780040, -0.079586, -0.134797
 -0.189268, -0.321276, -1.013381, -0.069242, -0.142102
 -0.189023, -0.497321, -1.201135, -0.054401, -0.144604
 -0.188779, -0.589835, -1.323767, -0.035282, -0.141974
 -0.188535, -0.604387, -1.374497, -0.012440, -0.134174
 -0.188291, -0.559428, -1.359799,  0.013224, -0.121444
 -0.188047, -0.480185, -1.296247,  0.040475, -0.104275
 -0.187803, -0.391523, -1.204598,  0.067796, -0.083380
 -0.187559, -0.312165, -1.102889,  0.093474, -0.059653
 -0.187315, -0.251801, -1.000829,  0.115705, -0.034126
 -0.187070, -0.211483, -0.897398,  0.132738, -0.007912
 -0.186826, -0.186706, -0.782415,  0.143025,  0.017853
 -0.186582, -0.171903, -0.641489,  0.145374,  0.042077
